Aula,Día,Inicio,Fin,Código,Materia,Comisión,Cupo,Inscriptos,=ARRAYFORMULA(TO_PURE_NUMBER(E2:E)),Día,Capacidad,Estado
,Jueves,8:00,11:00,93.80,Matemática Ingreso (Cuatrimestral),IPM-San Isidro,0,36,93.80,4,,
,Viernes,8:00,13:00,93.80,Matemática Ingreso (Cuatrimestral),IPM-San Isidro,0,36,93.80,5,,
,Miércoles,9:00,14:00,93.90,Física Ingreso (Cuatrimestral),ICM-Catherine's Moorlands,0,22,93.90,3,,
,Lunes,8:00,13:00,93.90,Física Ingreso (Cuatrimestral),IPM-San Isidro,0,38,93.90,1,,
,Lunes,9:00,12:00,12.50,Química Ingreso (Cuatrimestral),ICM-Catherine's Moorlands,0,21,12.50,1,,
,Jueves,9:00,11:00,12.50,Química Ingreso (Cuatrimestral),ICM-Catherine's Moorlands,0,21,12.50,4,,
,Miércoles,11:00,13:30,12.50,Química Ingreso (Cuatrimestral),IPM-San Isidro,0,36,12.50,3,,
,Jueves,11:00,13:30,12.50,Química Ingreso (Cuatrimestral),IPM-San Isidro,0,36,12.50,4,,
,Martes,9:00,12:00,99.05,Comunicación para Ing. (Cuatrimestral),IPM-San Isidro,0,33,99.05,2,,
,Jueves,11:00,14:00,99.05,Comunicación para Ing. (Cuatrimestral),ICM-Catherine's Moorlands,0,19,99.05,4,,
10,Lunes,17:00,18:00,93.80,Matemática Ingreso (Cuatrimestral),IPC-F,0,35,93.80,1,66,
10,Jueves,12:00,14:00,93.90,Física Ingreso (Cuatrimestral),IPC-F,0,35,93.90,4,66,
10,Lunes,14:00,17:00,93.80,Matemática Ingreso (Cuatrimestral),IPC-D,0,37,93.80,1,66,
10,Jueves,10:00,12:00,93.24,Probabil.y Estadistica(k/s),S,0,58,93.24,4,66,
10,Martes,9:00,11:00,93.65,Matemática IV,A,25,36,93.65,2,66,
10,Martes,12:00,15:00,21.06,Electrotecnia,A,28,38,21.06,2,66,
10,Lunes,9:00,12:00,31.22,Mecanica de Fluidos,AP,30,57,31.22,1,66,
10,Miércoles,15:00,18:00,31.22,Mecanica de Fluidos,AP,30,57,31.22,3,66,
10,Miércoles,9:00,12:00,11.10,Organizacion de la Produccion I,A,25,31,11.10,3,66,
10,Martes,19:00,22:00,11.19,Costos Industriales,A,25,13,11.19,2,66,
10,Martes,15:00,18:00,11.20,Presupuesto y Control,A,25,28,11.20,2,66,
10,Jueves,19:00,22:00,11.16,Materiales y Procesos,A,25,42,11.16,4,66,
10,Miércoles,19:00,22:00,11.16,Materiales y Procesos,A,25,42,11.16,3,66,
10,Viernes,16:00,19:00,94.23,Formacion General III,AB,25,53,94.23,5,66,
10,Jueves,14:00,16:00,93.44,Fisica IV,A,28,39,93.44,4,66,
10,Viernes,12:00,16:00,93.44,Fisica IV,A,28,39,93.44,5,66,
10,Jueves,14:00,16:00,93.44,Fisica IV,BME,28,29,93.44,4,66,
10,Viernes,8:00,12:00,93.44,Fisica IV,BME,28,29,93.44,5,66,
10,Lunes,19:00,22:00,12.83,Seguridad Ocupacional y Ambiental,K,25,38,12.83,1,66,
10,Miércoles,13:00,15:00,93.03,Matematica III,K,25,26,93.03,3,66,
10,Lunes,12:00,14:00,93.03,Matematica III,Q,25,50,93.03,1,66,
104,Jueves,8:00,10:00,93.03,Matematica III,B,25,34,93.03,4,34,
104,Jueves,10:00,12:00,93.42,Fisica II,B,25,24,93.42,4,34,
104,Martes,9:00,11:00,93.35,Logica Computacional,S,0,20,93.35,2,34,
104,Martes,16:00,19:00,11.91,Metodologia de Investigacion,A,12,26,11.91,2,34,
104,Lunes,12:00,14:00,93.17,Matematica I,E,1,29,93.17,1,34,
104,Jueves,12:00,14:00,93.18,Algebra Lineal,B,8,30,93.18,4,34,
104,Lunes,10:00,12:00,93.18,Algebra Lineal,D,1,26,93.18,1,34,
104,Miércoles,11:00,14:00,94.24,Metodologia del Aprendizaje,B,25,30,94.24,3,34,
104,Miércoles,14:00,17:00,94.24,Metodologia del Aprendizaje,C,25,31,94.24,3,34,
104,Miércoles,8:00,11:00,94.24,Metodologia del Aprendizaje,DF,25,13,94.24,3,34,
104,Miércoles,17:00,20:00,22.58,Instrumentación y control,E,0,10,22.58,3,34,
104,Lunes,14:00,17:00,11.84,Gestion de Proyectos,LA,25,30,11.84,1,34,
104,Jueves,14:00,18:00,22.57,Microprocesadores y Control,M,0,9,22.57,4,34,
104,Viernes,17:00,21:00,22.54,Electronica Industrial,M,0,10,22.54,5,34,
104,Viernes,13:00,15:00,41.34,Desarrollo de Yacimientos (Anual),P,0,23,41.34,5,34,
104,Lunes,17:00,19:00,41.38,Evaluación de Proyectos de la Industria Petrolera,P,0,19,41.38,1,34,
104,Martes,14:00,16:00,93.80,Matemática Ingreso (Cuatrimestral),IPC-E,0,32,93.80,2,34,
104,Viernes,10:00,13:00,99.05,Comunicación para Ing. (Cuatrimestral),IPC-F,0,30,99.05,5,34,
104,Martes,11:00,13:00,93.95,Física Ingreso (Anual),CPA-D,0,29,93.95,2,34,
105,Jueves,18:00,21:00,41.09,Ingenieria de Reservorios,P,0,19,41.09,4,28,
105,Miércoles,9:30,12:30,22.92,Fundamentos de la Teoría de Control,A,0,1,22.92,3,28,
105,Viernes,10:00,12:00,93.17,Matematica I,A,17,23,93.17,5,28,
105,Lunes,18:00,21:00,32.54,Construccion Naval,N,0,4,32.54,1,28,
105,Jueves,9:00,12:00,31.81,Tecnologia de Maquinas,K,0,12,31.81,4,28,
105,Miércoles,18:30,21:30,21.84,Proyecto Final  (Anual),E,0,4,21.84,3,28,
105,Martes,14:00,17:00,11.78,Estadística Aplicada II,A,0,5,11.78,2,28,
105,Lunes,13:00,15:00,93.57,Matematica V ( K ),K,0,24,93.57,1,28,
105,Lunes,15:00,18:00,22.14,Electronica IV,K,0,14,22.14,1,28,
105,Viernes,15:00,18:00,22.14,Electronica IV,K,0,14,22.14,5,28,
105,Viernes,18:00,21:00,22.88,Sensores y Actuadores,K,0,11,22.88,5,28,
105,Miércoles,14:00,16:00,93.18,Algebra Lineal,A,8,20,93.18,3,28,
105,Viernes,8:00,9:30,12.10,Introduccion a la Ingenieria Quimica,Q,0,22,12.10,5,28,
